"Cycle","Well","RFU","Dilu","Repli","probe","sp","Neg"
5,"D6",-1.35999119861663,4,6,"CbeB","Cbe",FALSE
5,"D7",-1.44685652707813,4,7,"Cbp","Fex",FALSE
5,"D8",-2.17808850530082,4,8,"Cbp","Fex",FALSE
5,"D9",-2.05297290899807,4,9,"Cbp","Fex",FALSE
5,"D10",3.16800056090142,4,10,"Fex","Fex",FALSE
5,"D11",3.34824633631069,4,11,"Fex","Fex",FALSE
5,"D12",-1.63859839690394,4,12,"Fex","Fex",FALSE
5,"E1",-1.88288012133034,5,1,"CbeA","Cbe",FALSE
5,"E2",-6.92994283147254,5,2,"CbeA","Cbe",FALSE
5,"E3",4.67495163023614,5,3,"CbeA","Cbe",FALSE
5,"E4",-6.23635963706238,5,4,"CbeB","Cbe",FALSE
5,"E5",11.5516361125665,5,5,"CbeB","Cbe",FALSE
5,"E6",5.05931391644026,5,6,"CbeB","Cbe",FALSE
5,"E7",-0.14196036255089,5,7,"Cbp","Fex",FALSE
5,"E8",-2.82635821798476,5,8,"Cbp","Fex",FALSE
5,"E9",-1.12881536606301,5,9,"Cbp","Fex",FALSE
5,"E10",3.01590777537876,5,10,"Fex","Fex",FALSE
5,"E11",4.23370116451679,5,11,"Fex","Fex",FALSE
5,"E12",0.299068549328695,5,12,"Fex","Fex",FALSE
6,"A1",13.9187398764998,1,1,"CbeA","Cbe",FALSE
6,"A2",10.6609595086502,1,2,"CbeA","Cbe",FALSE
6,"A3",-2.78434666169233,1,3,"CbeA","Cbe",FALSE
6,"A4",2.02061303759183,1,4,"CbeB","Cbe",FALSE
6,"A5",5.39739843232019,1,5,"CbeB","Cbe",FALSE
6,"A6",12.4124736564736,1,6,"CbeB","Cbe",FALSE
6,"A7",6.58734948577558,1,7,"Cbp","Fex",FALSE
6,"A8",4.13669642424111,1,8,"Cbp","Fex",FALSE
6,"A9",6.8871007121561,1,9,"Cbp","Fex",FALSE
6,"A10",6.81915550370104,1,10,"Fex","Fex",FALSE
6,"A11",6.76646429762332,1,11,"Fex","Fex",FALSE
6,"A12",5.7754624675481,1,12,"Fex","Fex",FALSE
6,"B1",5.8494732696945,2,1,"CbeA","Cbe",FALSE
6,"B2",9.22169021120317,2,2,"CbeA","Cbe",FALSE
6,"B3",6.61928708538017,2,3,"CbeA","Cbe",FALSE
6,"B4",-1.55019867971714,2,4,"CbeB","Cbe",FALSE
6,"B5",5.580387278952,2,5,"CbeB","Cbe",FALSE
6,"B6",-0.606943144824982,2,6,"CbeB","Cbe",FALSE
6,"B7",5.63322337192722,2,7,"Cbp","Fex",FALSE
6,"B8",-1.03734834592478,2,8,"Cbp","Fex",FALSE
6,"B9",2.18267592548273,2,9,"Cbp","Fex",FALSE
6,"B10",6.44303571562523,2,10,"Fex","Fex",FALSE
6,"B11",-1.28246551173652,2,11,"Fex","Fex",FALSE
6,"B12",2.64363538823,2,12,"Fex","Fex",FALSE
6,"C1",12.2600050883502,3,1,"CbeA","Cbe",FALSE
6,"C2",-3.13076412307782,3,2,"CbeA","Cbe",FALSE
6,"C3",-8.94156726374604,3,3,"CbeA","Cbe",FALSE
6,"C4",11.6033605440607,3,4,"CbeB","Cbe",FALSE
6,"C5",4.05706275963621,3,5,"CbeB","Cbe",FALSE
6,"C6",6.98593892006284,3,6,"CbeB","Cbe",FALSE
6,"C7",0.100930535098996,3,7,"Cbp","Fex",FALSE
6,"C8",5.54058607928437,3,8,"Cbp","Fex",FALSE
6,"C9",4.02129244358775,3,9,"Cbp","Fex",FALSE
6,"C10",4.6784124973974,3,10,"Fex","Fex",FALSE
6,"C11",-4.31846057395433,3,11,"Fex","Fex",FALSE
6,"C12",0.558923189654706,3,12,"Fex","Fex",FALSE
6,"D1",4.16191045050255,4,1,"CbeA","Cbe",FALSE
6,"D2",0.928864280198468,4,2,"CbeA","Cbe",FALSE
6,"D3",-2.67754579521807,4,3,"CbeA","Cbe",FALSE
6,"D4",3.07662519462701,4,4,"CbeB","Cbe",FALSE
6,"D5",6.85501772405041,4,5,"CbeB","Cbe",FALSE
6,"D6",9.36585897450277,4,6,"CbeB","Cbe",FALSE
6,"D7",1.41173728562762,4,7,"Cbp","Fex",FALSE
6,"D8",4.1920847715428,4,8,"Cbp","Fex",FALSE
6,"D9",4.82701348862793,4,9,"Cbp","Fex",FALSE
6,"D10",1.13360354612541,4,10,"Fex","Fex",FALSE
6,"D11",4.82685594366467,4,11,"Fex","Fex",FALSE
6,"D12",6.46804978065757,4,12,"Fex","Fex",FALSE
6,"E1",7.85293767999246,5,1,"CbeA","Cbe",FALSE
6,"E2",-2.46599511399018,5,2,"CbeA","Cbe",FALSE
6,"E3",-0.654262655840284,5,3,"CbeA","Cbe",FALSE
6,"E4",-2.48592702893711,5,4,"CbeB","Cbe",FALSE
6,"E5",8.65710200285139,5,5,"CbeB","Cbe",FALSE
6,"E6",1.38297942528607,5,6,"CbeB","Cbe",FALSE
6,"E7",0.288160169231105,5,7,"Cbp","Fex",FALSE
6,"E8",3.19486027699486,5,8,"Cbp","Fex",FALSE
6,"E9",2.51608077413994,5,9,"Cbp","Fex",FALSE
6,"E10",1.50897593848276,5,10,"Fex","Fex",FALSE
6,"E11",-3.6771435172941,5,11,"Fex","Fex",FALSE
6,"E12",5.51071114568913,5,12,"Fex","Fex",FALSE
7,"A1",0.835411343737178,1,1,"CbeA","Cbe",FALSE
7,"A2",4.05358709841948,1,2,"CbeA","Cbe",FALSE
7,"A3",-3.56079558519286,1,3,"CbeA","Cbe",FALSE
7,"A4",9.12842178073697,1,4,"CbeB","Cbe",FALSE
7,"A5",-3.22580120803559,1,5,"CbeB","Cbe",FALSE
7,"A6",5.14847022998129,1,6,"CbeB","Cbe",FALSE
7,"A7",1.0946214330238,1,7,"Cbp","Fex",FALSE
7,"A8",0.479978309173475,1,8,"Cbp","Fex",FALSE
7,"A9",2.65212539867889,1,9,"Cbp","Fex",FALSE
7,"A10",3.06066310096776,1,10,"Fex","Fex",FALSE
7,"A11",-2.086467071671,1,11,"Fex","Fex",FALSE
7,"A12",4.69028970958243,1,12,"Fex","Fex",FALSE
7,"B1",6.34013944520393,2,1,"CbeA","Cbe",FALSE
7,"B2",8.05836068153167,2,2,"CbeA","Cbe",FALSE
7,"B3",4.96760809649641,2,3,"CbeA","Cbe",FALSE
7,"B4",-2.03854578746632,2,4,"CbeB","Cbe",FALSE
7,"B5",-0.844972004239935,2,5,"CbeB","Cbe",FALSE
7,"B6",-0.318450535437478,2,6,"CbeB","Cbe",FALSE
7,"B7",-2.94413226887218,2,7,"Cbp","Fex",FALSE
7,"B8",1.95792903942765,2,8,"Cbp","Fex",FALSE
7,"B9",3.03536798832374,2,9,"Cbp","Fex",FALSE
7,"B10",-0.171593791043961,2,10,"Fex","Fex",FALSE
7,"B11",3.95827488953455,2,11,"Fex","Fex",FALSE
7,"B12",-0.0236729047837798,2,12,"Fex","Fex",FALSE
7,"C1",-2.40525124585201,3,1,"CbeA","Cbe",FALSE
7,"C2",-5.31300266135895,3,2,"CbeA","Cbe",FALSE
7,"C3",2.4851162851146,3,3,"CbeA","Cbe",FALSE
7,"C4",2.08710198332301,3,4,"CbeB","Cbe",FALSE
7,"C5",-3.10679378950681,3,5,"CbeB","Cbe",FALSE
7,"C6",1.08861878937478,3,6,"CbeB","Cbe",FALSE
7,"C7",-0.693674319551064,3,7,"Cbp","Fex",FALSE
7,"C8",2.95509437863757,3,8,"Cbp","Fex",FALSE
7,"C9",6.01863250580618,3,9,"Cbp","Fex",FALSE
7,"C10",1.14995580859977,3,10,"Fex","Fex",FALSE
7,"C11",-0.937445419649521,3,11,"Fex","Fex",FALSE
7,"C12",12.1658070207704,3,12,"Fex","Fex",FALSE
7,"D1",8.27067987348255,4,1,"CbeA","Cbe",FALSE
7,"D2",2.86310985304408,4,2,"CbeA","Cbe",FALSE
7,"D3",0.867105608373095,4,3,"CbeA","Cbe",FALSE
7,"D4",3.92444645994237,4,4,"CbeB","Cbe",FALSE
7,"D5",-1.03273089524919,4,5,"CbeB","Cbe",FALSE
7,"D6",-4.94023813256263,4,6,"CbeB","Cbe",FALSE
7,"D7",2.4789439680012,4,7,"Cbp","Fex",FALSE
7,"D8",-1.94209215221099,4,8,"Cbp","Fex",FALSE
7,"D9",-1.65369476737851,4,9,"Cbp","Fex",FALSE
7,"D10",2.41283224098243,4,10,"Fex","Fex",FALSE
7,"D11",5.1482903700562,4,11,"Fex","Fex",FALSE
7,"D12",-2.4526061950346,4,12,"Fex","Fex",FALSE
7,"E1",4.58239514734487,5,1,"CbeA","Cbe",FALSE
7,"E2",14.5024170382403,5,2,"CbeA","Cbe",FALSE
7,"E3",-7.55485584898906,5,3,"CbeA","Cbe",FALSE
